X,Y,Z
5.767141600000000326e+05,5.188194060000000522e+06,1.629600000000000080e+02
5.767152299999999814e+05,5.188192709999999963e+06,1.630399999999999920e+02
5.767162399999999907e+05,5.188191469999999739e+06,1.630900000000000034e+02
5.767170500000000466e+05,5.188190509999999776e+06,1.630900000000000034e+02
5.767181099999999860e+05,5.188189270000000484e+06,1.630800000000000125e+02
5.767222700000000186e+05,5.188184389999999665e+06,1.630099999999999909e+02
5.767231700000000419e+05,5.188183379999999888e+06,1.629099999999999966e+02
5.767242500000000000e+05,5.188182200000000186e+06,1.627700000000000102e+02
5.767253000000000466e+05,5.188181040000000037e+06,1.626500000000000057e+02
5.767261800000000512e+05,5.188180009999999776e+06,1.626200000000000045e+02
5.767270500000000466e+05,5.188179000000000000e+06,1.625800000000000125e+02
5.767279599999999627e+05,5.188177980000000447e+06,1.625200000000000102e+02
5.767288800000000047e+05,5.188176929999999702e+06,1.624500000000000171e+02
5.767298100000000559e+05,5.188175870000000112e+06,1.623799999999999955e+02
5.767307099999999627e+05,5.188174879999999888e+06,1.623100000000000023e+02
5.767316099999999860e+05,5.188173799999999814e+06,1.623000000000000114e+02
5.767328499999999767e+05,5.188172450000000186e+06,1.621599999999999966e+02
5.767379599999999627e+05,5.188166759999999776e+06,1.615999999999999943e+02
5.767389899999999907e+05,5.188165639999999665e+06,1.614600000000000080e+02
5.767403599999999860e+05,5.188164080000000075e+06,1.614000000000000057e+02
5.767413599999999860e+05,5.188162969999999739e+06,1.612500000000000000e+02
5.767429899999999907e+05,5.188161139999999665e+06,1.611299999999999955e+02
5.767444100000000326e+05,5.188159589999999851e+06,1.609600000000000080e+02
5.767143299999999581e+05,5.188193690000000410e+06,1.630099999999999909e+02
5.767155999999999767e+05,5.188192169999999925e+06,1.630800000000000125e+02
5.767165100000000093e+05,5.188191040000000037e+06,1.630699999999999932e+02
5.767174899999999907e+05,5.188189879999999888e+06,1.631299999999999955e+02
5.767218499999999767e+05,5.188184770000000484e+06,1.630500000000000114e+02
5.767228900000000140e+05,5.188183560000000522e+06,1.629699999999999989e+02
5.767239400000000605e+05,5.188182450000000186e+06,1.628100000000000023e+02
5.767251600000000326e+05,5.188181080000000075e+06,1.626599999999999966e+02
5.767260500000000466e+05,5.188180049999999814e+06,1.626299999999999955e+02
5.767269699999999721e+05,5.188179020000000484e+06,1.625800000000000125e+02
5.767278200000000652e+05,5.188178020000000484e+06,1.625300000000000011e+02
5.767287399999999907e+05,5.188176980000000447e+06,1.624500000000000171e+02
5.767296400000000140e+05,5.188175980000000447e+06,1.624000000000000057e+02
5.767305300000000279e+05,5.188174980000000447e+06,1.623100000000000023e+02
5.767314100000000326e+05,5.188173910000000149e+06,1.623100000000000023e+02
5.767326199999999953e+05,5.188172600000000559e+06,1.621800000000000068e+02
5.767336199999999953e+05,5.188171469999999739e+06,1.620800000000000125e+02
5.767385700000000652e+05,5.188166049999999814e+06,1.614699999999999989e+02
5.767395600000000559e+05,5.188164889999999665e+06,1.614500000000000171e+02
5.767404899999999907e+05,5.188163820000000298e+06,1.613900000000000148e+02
5.767415100000000093e+05,5.188162719999999739e+06,1.612299999999999898e+02
5.767426600000000326e+05,5.188161469999999739e+06,1.610999999999999943e+02
5.767437099999999627e+05,5.188160259999999776e+06,1.610399999999999920e+02
5.767448800000000047e+05,5.188159009999999776e+06,1.608300000000000125e+02
5.767150999999999767e+05,5.188192669999999925e+06,1.630300000000000011e+02
5.767160700000000652e+05,5.188191500000000000e+06,1.630800000000000125e+02
5.767168699999999953e+05,5.188190540000000037e+06,1.630800000000000125e+02
5.767177800000000279e+05,5.188189469999999739e+06,1.630900000000000034e+02
5.767217500000000000e+05,5.188184770000000484e+06,1.630600000000000023e+02
5.767227600000000093e+05,5.188183610000000335e+06,1.630000000000000000e+02
5.767236099999999860e+05,5.188182669999999925e+06,1.628600000000000136e+02
5.767246900000000605e+05,5.188181540000000037e+06,1.627000000000000171e+02
5.767255300000000279e+05,5.188180560000000522e+06,1.626500000000000057e+02
5.767263900000000140e+05,5.188179570000000298e+06,1.626299999999999955e+02
5.767272500000000000e+05,5.188178570000000298e+06,1.625800000000000125e+02
5.767281300000000047e+05,5.188177589999999851e+06,1.625099999999999909e+02
5.767290500000000466e+05,5.188176530000000261e+06,1.624399999999999977e+02
5.767299400000000605e+05,5.188175530000000261e+06,1.623600000000000136e+02
5.767308200000000652e+05,5.188174549999999814e+06,1.623199999999999932e+02
5.767318800000000047e+05,5.188173339999999851e+06,1.622599999999999909e+02
5.767329200000000419e+05,5.188172150000000373e+06,1.621599999999999966e+02
5.767366300000000047e+05,5.188168009999999776e+06,1.617599999999999909e+02
5.767380999999999767e+05,5.188166419999999925e+06,1.615600000000000023e+02
5.767390700000000652e+05,5.188165379999999888e+06,1.614399999999999977e+02
5.767400300000000279e+05,5.188164209999999963e+06,1.614500000000000171e+02
5.767410500000000466e+05,5.188163120000000112e+06,1.613000000000000114e+02
5.767420999999999767e+05,5.188162000000000000e+06,1.611200000000000045e+02
5.767430000000000000e+05,5.188160940000000410e+06,1.611200000000000045e+02
5.767440200000000186e+05,5.188159780000000261e+06,1.610200000000000102e+02
5.767451300000000047e+05,5.188158620000000112e+06,1.608000000000000114e+02
5.767150600000000559e+05,5.188192629999999888e+06,1.630500000000000114e+02
5.767159100000000326e+05,5.188191610000000335e+06,1.630800000000000125e+02
